run_ts_ist,location,lat,lon,line,obs_time,precip_mm,rain_mm,source
2026-06-26 12:15:56,Kurla,19.065,72.879,CR-hotspot,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 12:15:56,Thane,19.186,72.975,CR,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 12:15:56,Kalyan,19.243,73.13,CR,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 12:15:56,Chunnabhatti,19.046,72.875,Harbour-hotspot,,,,open-meteo-ERR
2026-06-26 12:15:56,Matunga,19.027,72.852,CR-hotspot,2026-06-26T12:15,0.0,0.0,open-meteo
2026-06-26 15:46:05,Churchgate,18.935,72.827,WR,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Dadar,19.018,72.844,WR/CR,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Andheri,19.119,72.846,WR,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Borivali,19.231,72.857,WR,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Virar,19.455,72.811,WR,,,,open-meteo-ERR
2026-06-26 15:46:05,CSMT,18.94,72.835,CR,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Sion,19.043,72.862,CR-hotspot,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Kurla,19.065,72.879,CR-hotspot,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Thane,19.186,72.975,CR,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Kalyan,19.243,73.13,CR,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 15:46:05,Chunnabhatti,19.046,72.875,Harbour-hotspot,,,,open-meteo-ERR
2026-06-26 15:46:05,Matunga,19.027,72.852,CR-hotspot,2026-06-26T15:45,0.0,0.0,open-meteo
2026-06-26 17:59:41,Churchgate,18.935,72.827,WR,2026-06-26T17:45,0.0,0.0,open-meteo
2026-06-26 17:59:41,Dadar,19.018,72.844,WR/CR,2026-06-26T17:45,0.0,0.0,open-meteo
2026-06-26 17:59:41,Andheri,19.119,72.846,WR,2026-06-26T17:45,0.0,0.0,open-meteo
2026-06-26 17:59:41,Borivali,19.231,72.857,WR,,,,open-meteo-ERR
2026-06-26 17:59:41,Virar,19.455,72.811,WR,2026-06-26T18:00,0.0,0.0,open-meteo
2026-06-26 17:59:41,CSMT,18.94,72.835,CR,2026-06-26T18:00,0.0,0.0,open-meteo
2026-06-26 17:59:41,Sion,19.043,72.862,CR-hotspot,2026-06-26T18:00,0.0,0.0,open-meteo
2026-06-26 17:59:41,Kurla,19.065,72.879,CR-hotspot,2026-06-26T18:00,0.0,0.0,open-meteo
2026-06-26 17:59:41,Thane,19.186,72.975,CR,2026-06-26T18:00,0.0,0.0,open-meteo
2026-06-26 17:59:41,Kalyan,19.243,73.13,CR,2026-06-26T18:00,0.0,0.0,open-meteo
2026-06-26 17:59:41,Chunnabhatti,19.046,72.875,Harbour-hotspot,,,,open-meteo-ERR
2026-06-26 17:59:41,Matunga,19.027,72.852,CR-hotspot,2026-06-26T18:00,0.0,0.0,open-meteo
2026-06-26 20:42:24,Churchgate,18.935,72.827,WR,2026-06-26T20:30,0.0,0.0,open-meteo
